Precip.Index,Location,Fledge.Counts
0.200214452575892,LocationOne,3
0.685218595666811,LocationOne,3
0.91687577450648,LocationOne,1
0.284399457275867,LocationOne,1
0.104650127934292,LocationOne,2
0.701057459227741,LocationOne,1
0.527959984261543,LocationOne,3
0.807935200864449,LocationOne,1
0.9565001251176,LocationOne,5
0.110453018685803,LocationOne,0
0.273284949595109,LocationOne,2
0.490513201802969,LocationOne,3
0.318404018646106,LocationOne,1
0.559172826586291,LocationOne,4
0.262593138730153,LocationOne,1
0.201875211205333,LocationOne,1
0.387525747064501,LocationOne,1
0.887869771569967,LocationOne,3
0.55492255394347,LocationOne,2
0.842179385246709,LocationOne,3
0.890207114629447,LocationOne,0
0.720700970385224,LocationOne,1
0.211340273730457,LocationOne,3
0.225717290770262,LocationOne,2
0.139983697095886,LocationOne,2
0.479913854040205,LocationOne,2
0.437411859631538,LocationOne,2
0.965964139439166,LocationOne,2
0.141913911094889,LocationOne,1
0.954978888388723,LocationOne,2
0.444730556104332,LocationOne,3
0.0593624736648053,LocationOne,2
0.275149184744805,LocationOne,1
0.0311482592951506,LocationOne,1
0.0144823438022286,LocationOne,0
0.487169028958306,LocationOne,1
0.595151623012498,LocationOne,1
0.597853036830202,LocationOne,1
0.397680514957756,LocationOne,4
0.396830396959558,LocationOne,0
0.816076069371775,LocationOne,1
0.235198754351586,LocationOne,1
0.826870246091858,LocationOne,6
0.533475931501016,LocationOne,1
0.928942713653669,LocationOne,8
0.549794725608081,LocationTwo,5
0.760142526822165,LocationTwo,4
0.0685097624082118,LocationTwo,3
0.793609339045361,LocationTwo,2
0.63280342775397,LocationTwo,2
0.384576936485246,LocationTwo,4
0.566272675059736,LocationTwo,1
0.921990567352623,LocationTwo,2
0.9758776135277,LocationTwo,9
0.933033839333802,LocationTwo,6
0.381162660429254,LocationTwo,1
0.25556407077238,LocationTwo,3
0.257483700523153,LocationTwo,0
0.196886381134391,LocationTwo,2
0.136400904972106,LocationTwo,4
0.623966502491385,LocationTwo,6
0.173745283158496,LocationTwo,1
0.866434578550979,LocationTwo,7
0.98933568620123,LocationTwo,12
0.986635761801153,LocationTwo,2
0.892013083212078,LocationTwo,5
0.888217610539868,LocationTwo,2
0.157343514729291,LocationTwo,1
0.930459470953792,LocationTwo,7
0.826930246781558,LocationTwo,3
0.829343417659402,LocationTwo,5
0.717340295435861,LocationTwo,2
0.156359620392323,LocationTwo,2
0.835461407201365,LocationTwo,3
0.0227246168069541,LocationTwo,4
0.919127090135589,LocationTwo,2
0.0390189492609352,LocationTwo,0
0.700119586894289,LocationTwo,7
0.443299840670079,LocationTwo,1
0.313868451630697,LocationTwo,3
0.939436482265592,LocationTwo,8
0.823745482368395,LocationTwo,4
0.21115410537459,LocationTwo,0
0.0916294408962131,LocationTwo,1
0.47027487680316,LocationTwo,1
0.0500614177435637,LocationTwo,1
0.970998018281534,LocationTwo,5
0.78315553558059,LocationTwo,3
0.323990452336147,LocationTwo,4
0.611486446345225,LocationTwo,4
